Simulation Total Time;8290024
Total Number of Sensed Events by the WSN: 0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;0;0;1;4300;8283333.333333;95 days 22:47:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;0;0;1;4665;8222500;95 days 4:17:37
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;0;0;0;4751;8208166.666667;95 days 0:7:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;0;0;0;4721;8213166.666667;95 days 1:27:58
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;0;0;1;4796;8200666.666667;94 days 22:24:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;0;0;1;4889;8185166.666667;94 days 17:49:28
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;0;0;0;4736;8210666.666667;95 days 0:59:54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;0;0;0;4854;8191000;94 days 19:52:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;0;0;1;4809;8198500;94 days 21:28:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;1;4406;8265666.666667;95 days 16:3:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;0;0;1;4744;8209333.333333;95 days 0:24:7
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;0;0;0;5225;8129166.666667;94 days 2:6:43
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;0;0;0;5276;8120666.666667;93 days 23:45:5
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;1;5327;8112166.666667;93 days 21:42:10
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;0;0;0;5245;8125833.333333;94 days 1:14:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;0;0;0;5314;8114333.333333;93 days 22:10:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;0;0;0;5176;8137333.333333;94 days 4:37:10
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;0;0;1;5268;8122000;94 days 0:17:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;0;0;0;5271;8121500;94 days 0:4:24
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;0;0;1;4812;8198000;94 days 21:17:53
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;0;0;0;4868;8188666.666667;94 days 18:43:20
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;0;0;1;5255;8124166.666667;94 days 0:52:33
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;0;0;0;5270;8121666.666667;94 days 0:4:24
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;0;0;1;5209;8131833.333333;94 days 3:13:6
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;0;0;0;5314;8114333.333333;93 days 22:10:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;0;0;1;5383;8102833.333333;93 days 18:50:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;0;0;0;5317;8113833.333333;93 days 22:10:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;0;0;1;5342;8109666.666667;93 days 20:58:37
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;0;0;1;5219;8130166.666667;94 days 2:34:21
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;0;0;1;4844;8192666.666667;94 days 19:52:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;0;0;1;4732;8211333.333333;95 days 0:59:54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;0;0;0;5335;8110833.333333;93 days 21:5:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;0;0;1;5454;8091000;93 days 15:56:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;0;0;0;5295;8117500;93 days 22:54:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;0;0;1;5241;8126500;94 days 1:25:38
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;0;0;1;5277;8120500;93 days 23:45:5
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;0;0;0;5303;8116166.666667;93 days 22:54:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;0;0;0;5327;8112166.666667;93 days 21:42:10
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;0;0;0;5299;8116833.333333;93 days 22:54:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;0;0;0;4792;8201333.333333;94 days 22:24:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;0;0;0;4723;8212833.333333;95 days 1:27:58
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;0;0;1;5248;8125333.333333;94 days 1:2:39
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;0;0;1;5233;8127833.333333;94 days 2:6:43
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;0;0;1;5110;8148333.333333;94 days 8:32:19
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;0;0;0;5236;8127333.333333;94 days 1:38:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;0;0;0;5321;8113166.666667;93 days 21:42:10
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;0;0;0;5243;8126166.666667;94 days 1:25:38
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;0;0;1;5245;8125833.333333;94 days 1:14:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;0;0;0;5247;8125500;94 days 1:14:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;0;0;1;4766;8205666.666667;94 days 23:26:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;0;0;0;4841;8193166.666667;94 days 19:52:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;0;0;1;5335;8110833.333333;93 days 21:5:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;0;0;1;5263;8122833.333333;94 days 0:23:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;0;0;0;5265;8122500;94 days 0:17:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;0;0;0;5298;8117000;93 days 22:54:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;0;0;1;5406;8099000;93 days 18:11:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node56;0;0;0;0;5347;8108833.333333;93 days 20:58:37
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node57;0;0;0;1;5261;8123166.666667;94 days 0:37:8
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node58;0;0;0;0;5361;8106500;93 days 20:13:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node59;0;0;0;0;4889;8185166.666667;94 days 17:49:28
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node60;0;0;0;1;4910;8181666.666667;94 days 16:48:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node61;0;0;0;0;5285;8119166.666667;93 days 23:25:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node62;0;0;0;0;5245;8125833.333333;94 days 1:14:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node63;0;0;0;0;5136;8144000;94 days 6:42:42
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node64;0;0;0;0;5224;8129333.333333;94 days 2:21:50
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node65;0;0;0;1;5283;8119500;93 days 23:25:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node66;0;0;0;0;5319;8113500;93 days 21:46:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node67;0;0;0;1;5269;8121833.333333;94 days 0:4:24
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node68;0;0;0;1;5365;8105833.333333;93 days 19:40:42
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node69;0;0;0;0;4721;8213166.666667;95 days 1:27:58
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node70;0;0;0;0;4746;8209000;95 days 0:24:7
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node71;0;0;0;1;5236;8127333.333333;94 days 1:38:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node72;0;0;0;0;5221;8129833.333333;94 days 2:21:50
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node73;0;0;0;0;5243;8126166.666667;94 days 1:25:38
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node74;0;0;0;1;5214;8131000;94 days 2:46:36
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node75;0;0;0;1;5129;8145166.666667;94 days 6:42:42
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node76;0;0;0;0;5264;8122666.666667;94 days 0:23:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node77;0;0;0;0;5322;8113000;93 days 21:42:10
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node78;0;0;0;0;5356;8107333.333333;93 days 20:13:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node79;0;0;0;0;4768;8205333.333333;94 days 23:26:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node80;0;0;0;1;4764;8206000;95 days 0:7:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node81;0;0;0;0;5262;8123000;94 days 0:23:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node82;0;0;0;1;5315;8114166.666667;93 days 22:10:31
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node83;0;0;0;1;5174;8137666.666667;94 days 4:37:10
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node84;0;0;0;1;5320;8113333.333333;93 days 21:46:34
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node85;0;0;0;1;5353;8107833.333333;93 days 20:13:13
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node86;0;0;0;0;5267;8122166.666667;94 days 0:17:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node87;0;0;0;1;5220;8130000;94 days 2:21:50
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node88;0;0;0;1;5296;8117333.333333;93 days 22:54:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node89;0;0;0;1;4728;8212000;95 days 1:27:58
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node90;0;0;0;1;4328;8278666.666667;95 days 19:44:29
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node91;0;0;0;0;4914;8181000;94 days 16:48:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node92;0;0;0;1;4782;8203000;94 days 22:45:15
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node93;0;0;0;0;4732;8211333.333333;95 days 0:59:54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node94;0;0;0;0;4815;8197500;94 days 21:17:53
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node95;0;0;0;1;4867;8188833.333333;94 days 18:43:20
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node96;0;0;0;1;4825;8195833.333333;94 days 20:46:5
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node97;0;0;0;0;4775;8204166.666667;94 days 23:26:27
