Simulation Total Time;6722476
Total Number of Sensed Events by the WSN: 164350
Number of Sensed Events by the WSN per Day
1;3974
2;3999
3;4058
4;4015
5;4014
6;4011
7;4085
8;4088
9;4048
10;4012
11;4059
12;4029
13;4012
14;4037
15;4092
16;4024
17;4050
18;3991
19;4068
20;4101
21;4085
22;4080
23;3985
24;4026
25;4065
26;4003
27;4067
28;4044
29;4026
30;4044
31;4054
32;4042
33;4014
34;4071
35;4082
36;3962
37;4045
38;4062
39;4003
40;3974
41;2849
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;251940;91115;1;11915;6103016.666666;70 days 15:24:37
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;401636;172740;0;12037;5266433.333333;60 days 22:54:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;645615;240932;0;10855;4781513.333333;55 days 8:12:20
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;407572;415537;1;7965;3517130;40 days 16:58:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;645093;240414;0;10859;4786026.666666;55 days 9:27:49
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;401941;173358;0;11834;5294086.666666;61 days 6:34:54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;252657;91169;1;11870;6109976.666666;70 days 17:26:39
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;243215;79200;1;13536;5952000;68 days 21:21:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;406869;86714;0;14786;5668526.666666;65 days 14:35:54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;485926;86769;0;14764;5671643.333333;65 days 15:27:46
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;660206;86393;0;14740;5679403.333333;65 days 17:38:3
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;485553;86518;0;14624;5697486.666666;65 days 22:39:46
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;407933;86851;0;14607;5696990;65 days 22:31:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;243506;79299;0;13512;5955010;68 days 22:11:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;204857;66504;0;13828;6030293.333333;69 days 19:5:46
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;281139;72980;0;15101;5753366.666666;66 days 14:9:33
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;290240;73011;0;15096;5753890;
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;290398;72925;0;14930;5782416.666666;66 days 22:14:9
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;290692;72996;0;14948;5778706.666666;66 days 21:12:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;281821;73240;0;14961;5774100;66 days 19:55:20
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;205723;66849;0;13666;6053843.333333;70 days 1:37:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;165371;53669;0;13906;6145643.333333;71 days 3:11:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;227301;59103;0;15176;5879636.666666;68 days 1:15:58
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;234510;59001;0;15283;5862823.333333;67 days 20:35:29
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;234442;58881;1;15273;5865690;67 days 21:21:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;234639;58908;0;15283;5863753.333333;67 days 20:50:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;227549;59170;1;15283;5861133.333333;67 days 20:6:20
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;165816;53842;0;14046;6120580;70 days 20:10:44
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;124674;40455;1;14048;6254116.666666;72 days 9:22:18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;171254;44598;0;15526;5966353.333333;69 days 1:20:0
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;176674;44452;0;15586;5957813.333333;68 days 22:57:7
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;176684;44401;0;15516;5969990;69 days 2:20:51
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;177057;44524;1;15460;5978093.333333;69 days 4:36:53
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;171597;44684;0;15489;5971660;69 days 2:50:37
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;124663;40396;0;14261;6219206.666666;71 days 23:35:59
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;82430;26753;0;14330;6344136.666666;73 days 10:17:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;113376;29551;0;15815;6068656.666666;70 days 5:45:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;116991;29404;0;15812;6070626.666666;70 days 6:30:50
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;116952;29395;1;15820;6069383.333333;70 days 5:56:46
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;117316;29577;0;15813;6068730;70 days 5:45:32
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;113447;29643;0;15867;6059070;70 days 3:5:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;82245;26615;1;14410;6332183.333333;73 days 6:58:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;41287;13063;1;13063;6692203.333333;77 days 11:2:3
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;56536;14534;0;14534;6432326.666666;74 days 10:45:39
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;58374;14426;1;14426;6451406.666666;74 days 16:17:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;58368;14436;1;14436;6449640;74 days 15:34:8
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;58550;14550;0;14550;6429500;74 days 10:10:36
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;56558;14589;0;14589;6422610;74 days 8:3:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;41204;12892;1;12892;6722413.333333;77 days 19:21:16
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;313791;0
