Simulation Total Time;7886313
Total Number of Sensed Events by the WSN: 354472
Total Number of Sensed Events by the Drone: 354472
Number of Sensed Events by the Drone per Day
1;4008
2;3968
3;4070
4;4017
5;4016
6;4029
7;4019
8;4008
9;3991
10;4039
11;4068
12;3987
13;4022
14;4012
15;4043
16;4009
17;3969
18;4012
19;3947
20;3998
21;3966
22;4051
23;3966
24;4060
25;4046
26;3974
27;4029
28;3989
29;4078
30;4030
31;4012
32;4039
33;4000
34;4009
35;4077
36;4000
37;4020
38;4017
39;3947
40;3978
41;3914
42;4028
43;4014
44;4062
45;3981
46;4012
47;4024
48;4027
49;3998
50;4004
51;3994
52;4006
53;4072
54;4045
55;4031
56;3914
57;3948
58;3992
59;3999
60;4009
61;4039
62;3976
63;4021
64;4002
65;3964
66;4037
67;4040
68;3961
69;4043
70;3900
71;4032
72;4001
73;4037
74;3972
75;4033
76;3993
77;4049
78;4078
79;3953
80;3990
81;3967
82;4080
83;4036
84;4007
85;3987
86;3994
87;4024
88;3086
89;1791
90;524
91;234
92;27
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;276990;24309;0;5841;7841819.999998;90 days 18:17:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;359908;31388;0;6265;7704603.33333;89 days 4:10:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;318619;31884;0;6311;7692436.666664;89 days 0:47:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;314949;31699;0;6296;7696636.666664;89 days 1:58:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;316333;31646;0;6136;7722233.333331;89 days 9:4:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;322500;31452;0;6286;7700693.333331;89 days 3:6:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;324092;31456;0;6195;7714889.999997;89 days 7:3:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;313950;30787;0;6205;7720013.333331;89 days 8:28:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;226586;23831;0;5637;7878559.999998;91 days 4:31:32
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;365256;31558;0;6363;7687539.999997;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;418881;39445;0;6821;7536936.666664;87 days 5:35:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;422616;39875;0;6712;7549703.333331;87 days 9:8:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;415724;39743;0;6680;7556036.666665;87 days 10:54:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;422964;39510;0;6790;7541133.333331;87 days 6:46:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;427348;39315;0;6571;7577413.333331;87 days 16:51:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;424715;39137;0;6581;7577606.666664;87 days 16:53:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;410027;38943;0;6660;7567169.999998;87 days 14:1:5
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;307589;31125;0;6352;7693603.333331;89 days 1:7:54
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;327748;32014;1;6299;7693016.666664;89 days 0:57:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;430940;40038;0;6741;7543539.999997;87 days 7:25:53
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;438123;40206;0;6751;7540283.333331;87 days 6:31:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;380519;40067;0;6686;7551876.666667;87 days 9:45:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;375516;40297;0;6732;7542349.999998;87 days 7:7:17
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;384983;39676;0;6601;7569083.333331;87 days 14:32:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;429505;39906;0;6653;7558636.666665;87 days 11:38:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;412142;39646;0;6735;7548389.999998;87 days 8:46:35
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;316111;31965;0;6254;7700556.666664;89 days 3:3:38
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;321431;31884;0;6312;7692279.999997;89 days 0:44:54
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;422837;39864;0;6785;7538376.666664;87 days 5:59:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;381416;39970;0;6606;7565379.999997;87 days 13:30:27
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;257601;39642;0;6559;7576003.333333;87 days 16:27:5
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;211560;33478;1;6823;7596283.333333;87 days 22:4:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;256376;39729;0;6541;7577953.333334;87 days 16:59:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;372807;39998;0;6705;7549569.999998;87 days 9:6:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;413341;39969;0;6730;7545943.333331;87 days 8:6:13
eboracum.wsn.network.node.sensor.MuleWSNNode;Node35;0;315626;32098;0;6370;7681053.333331;88 days 21:38:45
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;317877;31780;0;6189;7712589.999998;89 days 6:24:18
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;414398;39579;0;6783;7541539.999997;87 days 6:52:46
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;364305;39634;0;6669;7558859.999997;87 days 11:41:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;205603;32742;1;6494;7655186.666666;88 days 14:26:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;132071;33063;0;6658;7559703.333333;87 days 11:56:20
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;211338;33053;0;6587;7637506.666666;88 days 9:33:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;373752;40096;0;6701;7549216.666664;87 days 9:0:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;422864;40015;0;6819;7531539.999998;87 days 4:6:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;316517;32370;0;6384;7676139.999998;88 days 20:17:6
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;318783;31736;0;6307;7694543.333331;89 days 1:22:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;412099;39282;0;6556;7580073.33333;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;366269;39530;0;6534;7581039.999998;87 days 17:50:49
