Simulation Total Time;7982190
Total Number of Sensed Events by the WSN: 362133
Total Number of Sensed Events by the Drone: 362133
Number of Sensed Events by the Drone per Day
1;3926
2;4052
3;3956
4;3969
5;4038
6;3984
7;4034
8;4051
9;3981
10;4018
11;3973
12;4015
13;4069
14;3937
15;4008
16;4008
17;4060
18;4007
19;4045
20;4019
21;4059
22;3958
23;4028
24;3991
25;4040
26;4035
27;4022
28;4054
29;4003
30;4053
31;3988
32;4098
33;4011
34;4058
35;4053
36;4026
37;4015
38;3990
39;3995
40;4048
41;4030
42;3999
43;4006
44;4002
45;4034
46;3996
47;3985
48;4035
49;4061
50;3972
51;4027
52;4063
53;4032
54;3973
55;3989
56;4015
57;4028
58;4042
59;3973
60;4051
61;3975
62;4013
63;3985
64;3936
65;4014
66;3979
67;3925
68;3999
69;3948
70;3995
71;3974
72;4031
73;4038
74;3916
75;4050
76;3983
77;3946
78;3994
79;3971
80;4028
81;4052
82;4001
83;3989
84;4075
85;3962
86;4023
87;3965
88;3924
89;4006
90;3402
91;1681
92;301
93;64
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;281383;24575;0;5840;7964216.666665;92 days 4:17:59
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;366419;31927;0;6433;7842853.33333;90 days 18:34:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;325092;32384;0;6439;7840349.999998;90 days 17:52:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;321804;32225;0;6276;7867503.333331;91 days 1:26:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;322488;32104;0;6334;7858433.333331;90 days 22:54:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;329258;32259;0;6392;7848443.333331;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;331630;32413;0;6380;7849889.999997;90 days 20:31:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;320552;31966;0;6498;7832106.666664;90 days 15:36:41
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;230507;24628;0;5861;7960609.999998;92 days 3:17:20
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;372419;31836;0;6462;7838419.999996;90 days 17:20:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;429692;40142;0;6864;7745073.33333;89 days 15:24:38
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;433823;40665;0;6819;7750679.999998;89 days 16:58:5
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;426519;40483;0;6900;7738056.666665;89 days 13:28:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;434318;40355;0;6771;7759553.333331;89 days 19:26:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;438422;40165;0;6775;7759533.333331;89 days 19:26:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;435746;40313;0;6763;7760999.999998;89 days 19:51:10
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;421151;40009;0;6847;7748296.666665;89 days 16:18:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;314872;31842;0;6408;7847219.999998;90 days 19:47:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;334647;32251;0;6317;7860719.999997;90 days 23:32:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;441471;40569;0;6871;7742509.999997;89 days 14:41:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;450103;41177;0;6893;7736886.666664;89 days 13:8:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;390413;41457;0;6940;7728276.666667;89 days 10:44:39
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;386071;41076;0;6876;7739999.999998;89 days 14:0:13
