Simulation Identification;NodeGrid49_SideSink_EventSpaceDistUniform_Rebuild_sensor.controlled.RandomControlledWSNNode
Round;0
Initial Battery;270.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;49
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;900
Total Number of Sensed Events by the WSN;0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node0;0;0;0;0;0;566.666667
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node1;0;0;0;0;0;566.666667
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node2;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node3;0;0;0;0;0;733.333333
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node4;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node5;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node6;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node7;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node8;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node9;0;0;0;0;0;566.666667
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node10;0;0;0;0;0;900
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node11;0;0;0;0;0;733.333333
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node12;0;0;0;0;0;733.333333
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node13;0;0;0;0;0;566.666667
eboracum.wsn.network.node.sensor.controlled.RandomControlledWSNNode;Node14;0;0;0;0;0;733.333333
