Simulation Identification;sensor.mobile.DynamicReorganizedMobileWSNNode_Mesh49
Round;6
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;49
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;7565395
Total Number of Sensed Events by the WSN;0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node0;0;0;0;1;14064;6656000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node1;0;0;0;1;14129;6645166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node2;0;0;0;1;11088;7152000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node3;0;0;0;1;13819;6696833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node4;0;0;0;1;14017;6663833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node5;0;0;0;1;13781;6703166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node6;0;0;0;1;13101;6816500
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node7;0;0;0;1;13055;6824166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node8;0;0;0;1;12114;6981000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node9;0;0;0;1;10876;7187333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node10;0;0;0;1;13844;6692666.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node11;0;0;0;1;12485;6919166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node12;0;0;0;1;10711;7214833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node13;0;0;0;1;10031;7328166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node14;0;0;0;1;13858;6690333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node15;0;0;0;1;13978;6670333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node16;0;0;0;1;13968;6672000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node17;0;0;0;1;13014;6831000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node18;0;0;0;1;13418;6763666.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node19;0;0;0;1;12534;6911000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node20;0;0;0;1;13946;6675666.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node21;0;0;0;1;13951;6674833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node22;0;0;0;1;12886;6852333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node23;0;0;0;1;13960;6673333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node24;0;0;0;1;12627;6895500
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node25;0;0;0;1;13822;6696333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node26;0;0;0;1;14023;6662833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node27;0;0;0;1;13878;6687000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node28;0;0;0;1;10248;7292000
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node29;0;0;0;1;10567;7238833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node30;0;0;0;0;13936;6677333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node31;0;0;0;1;13637;6727166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node32;0;0;0;1;13881;6686500
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node33;0;0;0;0;13883;6686166.666666
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node34;0;0;0;0;14019;6663500
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node35;0;0;0;1;9826;7362333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node36;0;0;0;1;8807;7532166.666667
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node37;0;0;0;1;10555;7240833.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node38;0;0;0;1;13948;6675333.333333
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node39;0;0;0;1;14019;6663500
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node40;0;0;0;1;13905;6682500
eboracum.wsn.network.node.sensor.mobile.DynamicReorganizedMobileWSNNode;Node41;0;0;0;1;12638;6893666.666666
