Simulation Identification;sensor.SimpleWSNNode_Random49
Round;1
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;49
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8244438
Total Number of Sensed Events by the WSN;6252
Number of Sensed Events by the WSN per Day
1;68
2;60
3;83
4;65
5;64
6;61
7;60
8;62
9;72
10;72
11;77
12;66
13;54
14;69
15;59
16;70
17;79
18;56
19;72
20;56
21;71
22;51
23;77
24;71
25;74
26;63
27;62
28;63
29;62
30;76
31;66
32;75
33;71
34;70
35;65
36;65
37;66
38;68
39;66
40;79
41;67
42;76
43;64
44;58
45;72
46;73
47;65
48;68
49;59
50;68
51;86
52;74
53;80
54;58
55;64
56;66
57;67
58;60
59;66
60;72
61;70
62;77
63;67
64;80
65;77
66;67
67;69
68;64
69;56
70;76
71;62
72;63
73;67
74;63
75;65
76;63
77;69
78;73
79;71
80;66
81;61
82;73
83;70
84;73
85;67
86;66
87;73
88;65
89;85
90;66
91;70
92;66
93;3
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;0;0;1;13091;6818166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;0;0;1;13946;6675666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;0;0;1;13910;6681666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;0;0;1;13952;6674666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;0;0;1;13980;6670000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;0;0;1;11014;7164333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;0;0;1;5814;8031000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;0;0;0;14092;6651333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;0;0;1;14043;6659500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;1;11695;7050833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;0;0;1;6476;7920666.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;0;0;1;9324;7446000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;0;0;0;13897;6683833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;1;6397;7933833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;0;6252;1;6252;7957962.488
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;0;0;0;13946;6675666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;0;0;1;4555;8240833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;0;0;1;10143;7309500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;0;0;1;4920;8180000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;0;0;1;13438;6760333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;0;0;1;11738;7043666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;0;0;1;10436;7260666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;0;0;1;9090;7485000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;0;0;1;13958;6673666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;0;0;1;7870;7688333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;0;0;1;13904;6682666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;0;0;1;7194;7801000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;0;0;1;10577;7237166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;0;0;1;7191;7801500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;0;0;1;6599;7900166.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;0;0;0;13946;6675666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;0;0;1;13831;6694833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;0;0;1;14016;6664000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;0;0;1;13550;6741666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;0;0;1;9576;7404000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;0;0;1;13985;6669166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;0;0;1;13594;6734333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;0;0;1;9889;7351833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;0;0;1;13790;6701666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;0;0;1;12986;6835666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;0;0;1;11010;7165000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;0;0;1;9485;7419166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;0;0;1;6548;7908666.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;0;0;1;12574;6904333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;0;0;1;14092;6651333.333333
