Simulation Identification;sensor.SimpleWSNNode_Random64
Round;7
Initial Battery;2700000.0
Communication Radius;160.0
Sensor Cover Radius;120.0
Node Idle Energy Cost;0.3
CPU Processing Energy Cost;50.0
Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.sensor.SimpleWSNNode;64
Summary of Events
Class Name;Type;Number of Instances;Tasks Cost Graph; Comm Energy Cost
eboracum.wsn.network.node.StochasticPeriodicJumperEvent;E0;1;<task id="0"><cpu name="SimpleFIFOBasedCPU" cost="1"/></task>;0.0018

Results
Simulation Total Time;8479248
Total Number of Sensed Events by the WSN;0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;0;0;1;14122;6646333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;0;0;1;7502;7749666.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;0;0;1;14128;6645333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;0;0;1;14082;6653000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;0;0;1;13789;6701833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;0;0;1;13385;6769166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;0;0;1;13898;6683666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;0;0;1;5786;8035666.666667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;0;0;1;14195;6634166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;0;0;0;13983;6669500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;0;0;1;10504;7249333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;0;0;1;11140;7143333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;0;0;1;13913;6681166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;1;13810;6698333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;0;0;1;9676;7387333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;0;0;1;10221;7296500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;0;0;1;13965;6672500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;0;0;1;13985;6669166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;0;0;1;12641;6893166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;0;0;1;13402;6766333.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;0;0;1;4053;8324500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;0;0;1;10007;7332166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;0;0;1;11552;7074666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;0;0;1;13874;6687666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;0;0;1;14139;6643500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;0;0;1;7821;7696500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;0;0;1;14112;6648000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;0;0;0;13808;6698666.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;0;0;1;12513;6914500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;0;0;1;13937;6677166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;0;0;1;14063;6656166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;0;0;1;13953;6674500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;0;0;0;13403;6766166.666666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;0;0;1;14124;6646000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;0;0;1;12139;6976833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;0;0;1;8172;7638000
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;0;0;1;14115;6647500
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;0;0;1;12331;6944833.333333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;0;0;1;4234;8294333.333333
