Simulation Total Time;8908752
Total Number of Sensed Events by the WSN: 576507
Total Number of Sensed Events by the Drone: 252524
Number of Sensed Events by the Drone per Day
1;4077
2;4010
3;4064
4;4042
5;4043
6;3996
7;4062
8;4073
9;4032
10;4017
11;4022
12;4051
13;4066
14;4028
15;4043
16;4049
17;4107
18;4027
19;4046
20;3993
21;4044
22;4015
23;4006
24;4037
25;3992
26;4068
27;4051
28;4040
29;4038
30;4078
31;3997
32;4043
33;4081
34;4014
35;4070
36;4072
37;4032
38;3989
39;3677
40;3563
41;3590
42;3546
43;3567
44;3624
45;3525
46;3127
47;2371
48;2417
49;2370
50;2382
51;2372
52;2360
53;2382
54;2383
55;2454
56;2387
57;2394
58;2439
59;2363
60;2395
61;2332
62;2053
63;2009
64;2052
65;2078
66;2068
67;1976
68;1975
69;992
70;879
71;864
72;844
73;874
74;893
75;858
76;887
77;854
78;888
79;882
80;882
81;881
82;849
83;888
84;926
85;868
86;754
87;596
88;609
89;633
90;593
91;497
92;460
93;490
94;173
95;163
96;159
97;159
98;191
99;169
100;69
101;18
102;16
103;20
104;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;610883;5177;0;466;8906629.999991;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;860132;18453;0;2132;8590263.333321;99 days 10:11:12
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;755749;36096;0;5111;8044883.333323;93 days 2:42:30
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;749398;44074;0;6744;7751566.666657;89 days 17:14:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;769249;36207;0;5118;8043369.99999;93 days 2:17:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;832753;18810;0;2282;8564573.333321;99 days 3:3:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;632473;5570;0;513;8897643.333324;102 days 23:34:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;809888;18403;0;2113;8593533.333321;99 days 11:5:57
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;1127884;54967;0;8624;7408193.333317;85 days 17:50:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;811413;93586;0;17131;5889983.333324;68 days 4:6:53
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;960881;108104;0;20684;5261276.666656;60 days 21:28:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;815839;93561;0;17101;5894966.666658;68 days 5:30:23
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;1115138;55483;0;8638;7404183.333318;85 days 16:43:16
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;819870;18670;0;2262;8568306.666654;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;771166;35804;0;5098;8047979.99999;93 days 3:33:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;862575;93067;0;16940;5922909.999991;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;736425;142123;1;28013;3950803.333327;45 days 17:27:17
